Plant Name,Plant Code,State,Sector Name,Prime Movers,Fuel Types
100 Brook Hill Drive Solar,63292,NY,Commercial non-cogen,PV,SUN
"1025 Traveller Solar, LLC",62660,NC,Electric utility non-cogen,PV,SUN
"1047 Little Mountain Solar, LLC",62661,NC,Electric utility non-cogen,PV,SUN
12 Applegate Solar LLC,59371,NJ,Electric utility non-cogen,PV,SUN
126 Grove Solar LLC,60858,MA,Electric utility non-cogen,PV,SUN
1420 Coil Av #C,57310,CA,Commercial non-cogen,PV,SUN
145 Talmadge Solar,57458,NJ,Electric utility non-cogen,PV,SUN
158th Fighter Wing Solar Farm,60542,VT,Electric utility non-cogen,PV,SUN
180 Raritan Solar,58187,NJ,Electric utility non-cogen,PV,SUN
201 Sturbridge B,59822,MA,Electric utility non-cogen,PV,SUN
205 Sturbridge A,59821,MA,Electric utility non-cogen,PV,SUN
2081 Terzian Solar Project,58918,CA,Electric utility non-cogen,PV,SUN
2097 Helton Solar Project,58920,CA,Electric utility non-cogen,PV,SUN
2127 Harris Solar Project,58919,CA,Electric utility non-cogen,PV,SUN
"231 Dixon 74 Solar I, LLC",61195,NC,Electric utility non-cogen,PV,SUN
"232 Long Branch 29 Solar I, LLC",63296,NC,Electric utility non-cogen,PV,SUN
24 Applegate Solar LLC,59365,NJ,Electric utility non-cogen,PV,SUN
"25 Ashdown Road Solar, LLC",62998,NY,Electric utility non-cogen,PV,SUN
2555 E Olympic Bl,57871,CA,Commercial non-cogen,PV,SUN
"265 Pleasant Solar NG, LLC",59485,MA,Electric utility non-cogen,PV,SUN
301 Chestnut Solar NG,61518,MA,Electric utility non-cogen,PV,SUN
"350 Clark Solar, NG, LLC",61224,NJ,Electric utility non-cogen,PV,SUN
4 Applegate Solar LLC,59370,NJ,Electric utility non-cogen,PV,SUN
"433 Purchase Solar NG, LLC",61237,MA,Electric utility non-cogen,PV,SUN
435A Bergen Avenue,63366,NJ,Commercial non-cogen,PV,SUN
46 Meadowlands Parkway,62325,NJ,Commercial non-cogen,PV,SUN
4Oaks,59534,NC,Electric utility non-cogen,PV,SUN
500 Virginia Solar,57640,PA,Electric utility non-cogen,PV,SUN
510 REPP One,57363,NC,Electric utility non-cogen,PV,SUN
651 Chase Solar NG,59046,MA,Electric utility non-cogen,PV,SUN
77 Metro Way,62326,NJ,Commercial non-cogen,PV,SUN
ABD Farms,61525,NC,Electric utility non-cogen,PV,SUN
"AC Criminal Courts Complex SPE2, LLC",58798,NJ,Commercial non-cogen,PV,SUN
AC Power,63260,NJ,Electric utility non-cogen,PV,SUN
ACCC Mays Landing,60802,NJ,Electric utility non-cogen,PV,SUN
ACE-Stanton A PV,61247,FL,Electric utility non-cogen,PV,SUN
ACE-Stanton PV,61246,FL,Electric utility non-cogen,PV,SUN
AEP Jacksonville Solar Project,61388,FL,Electric utility non-cogen,PV,SUN
"AES Kekaha Solar, LLC",63280,HI,Electric utility non-cogen,PV,SUN
AES LAWAI SOLAR Hybrid,61068,HI,Electric utility non-cogen,"BA,PV","MWH,SUN"
AES Tonawanda Solar LLC,63161,NY,Electric utility non-cogen,PV,SUN
AFA Solar Farm,57554,CO,Electric utility non-cogen,PV,SUN
AGA TAG Solar IV LLC,63225,NC,Electric utility non-cogen,PV,SUN
AIS Solar Project,60986,MA,Electric utility non-cogen,PV,SUN
ALDI DC 2,62615,CT,Electric utility non-cogen,PV,SUN
AM Best Farm,58344,NC,Electric utility non-cogen,PV,SUN
AMP Napoleon Solar Facility,58082,OH,Electric utility,PV,SUN
ANAD Solar Array,60680,AL,Electric utility,PV,SUN
"AP North Lake I, LP",59610,CA,Electric utility non-cogen,PV,SUN
APG New Chesapeake,62629,MD,Electric utility non-cogen,PV,SUN
APG Old Bayside,62628,MD,Electric utility non-cogen,PV,SUN
ASTI,58889,CA,Electric utility non-cogen,PV,SUN
"ATOOD Solar IV, LLC",63383,NC,Electric utility non-cogen,PV,SUN
AV Solar Ranch One,57378,CA,Electric utility non-cogen,PV,SUN
AVS Lancaster 1,60085,CA,Electric utility non-cogen,PV,SUN
AZ State University - Tempe Campus Solar,62643,AZ,Commercial non-cogen,PV,SUN
Abbot Solar,61936,SC,Electric utility non-cogen,PV,SUN
Achilles Solar,62621,NC,Electric utility non-cogen,PV,SUN
Acton Solar Landfill,59543,MA,Commercial non-cogen,PV,SUN
Acturus Community Solar,61705,MN,Electric utility non-cogen,PV,SUN
Actus Lend Lease DMAFB,58632,AZ,Electric utility non-cogen,PV,SUN
Acushnet AD Makepeace,58270,MA,Electric utility non-cogen,PV,SUN
Acushnet Hawes Reed Road,58271,MA,Electric utility non-cogen,PV,SUN
Acushnet- High Hill,59128,MA,Electric utility non-cogen,PV,SUN
Acushnet-Braley Road 1,59121,MA,Electric utility non-cogen,PV,SUN
Adams Ave MS and HS,60772,NJ,Electric utility non-cogen,PV,SUN
Adams Community Solar Garden III LLC,59850,CO,Electric utility non-cogen,PV,SUN
Adams Community Solar Garden LLC,59849,CO,Electric utility non-cogen,PV,SUN
Adams Farm Solar,59775,MA,Electric utility non-cogen,PV,SUN
Adams Nielson Solar,61933,WA,Electric utility non-cogen,PV,SUN
Adams Solar,62026,CT,Electric utility non-cogen,PV,SUN
Adams Solar Center,61496,OR,Electric utility non-cogen,PV,SUN
"Adelanto Solar II, LLC",59440,CA,Electric utility non-cogen,PV,SUN
Adelanto Solar Project,57305,CA,Electric utility,PV,SUN
"Adelanto Solar, LLC",59441,CA,Electric utility non-cogen,PV,SUN
Adera Solar,60027,CA,Electric utility non-cogen,PV,SUN
Adobe Solar,57651,CA,Electric utility non-cogen,PV,SUN
"Advance Stores Company, Inc",59788,CT,Electric utility non-cogen,PV,SUN
Aegis CSG,63059,NY,Electric utility non-cogen,PV,SUN
Aerojet I,57697,CA,Electric utility non-cogen,PV,SUN
Aerojet II,57698,CA,Electric utility non-cogen,PV,SUN
Aerolease,61718,CA,Industrial non-cogen,PV,SUN
Agawam Solar,59028,MA,Electric utility non-cogen,PV,SUN
Agua Caliente Solar Project,57373,AZ,Electric utility non-cogen,PV,SUN
Agua Fria,141,AZ,Electric utility,GT,NG
Ahoskie,59795,NC,Electric utility non-cogen,PV,SUN
Airport 1 Solar (DIA),59807,CO,Electric utility non-cogen,PV,SUN
Airport Solar,62560,OR,Electric utility non-cogen,PV,SUN
Ajax Solar,60288,NC,Electric utility non-cogen,PV,SUN
"Ajax Solar, LLC (MA)",62827,MA,Electric utility non-cogen,PV,SUN
Alamo 6,59206,TX,Electric utility non-cogen,PV,SUN
Alamo Solar,59469,CA,Electric utility non-cogen,PV,SUN
Alamogordo Solar Energy Center,57577,NM,Electric utility,PV,SUN
Albany Solar,60519,MN,Electric utility non-cogen,PV,SUN
Albemarle Solar Center LLC,58806,NC,Electric utility non-cogen,PV,SUN
Albertson Solar LLC,59901,NC,Electric utility non-cogen,PV,SUN
Albuquerque Solar Energy Center,57567,NM,Electric utility,PV,SUN
Alethea I,58519,NJ,Electric utility non-cogen,PV,SUN
"Algonquin SKIC 10 Solar, LLC",60242,CA,Electric utility non-cogen,PV,SUN
Algonquin SKIC20 Solar LLC,59412,CA,Electric utility non-cogen,PV,SUN
Allied Beverages Elizabeth,63353,NJ,Electric utility non-cogen,PV,SUN
Aloha Solar Energy Fund 1 PK1,58659,HI,Electric utility non-cogen,PV,SUN
Alpaugh 50,58003,CA,Electric utility non-cogen,PV,SUN
Alpaugh North,58002,CA,Electric utility non-cogen,PV,SUN
Alpha Value Solar,62054,NC,Electric utility non-cogen,PV,SUN
Alpine Solar,57295,CA,Electric utility non-cogen,PV,SUN
Alta Luna,60258,NM,Electric utility non-cogen,PV,SUN
Altair Community Solar Garden,61645,MN,Electric utility non-cogen,PV,SUN
Altamonte Mall,63254,FL,Commercial non-cogen,PV,SUN
Alticor Inc - Solar Project,63303,CA,Electric utility non-cogen,PV,SUN
Amazon,58357,NJ,Commercial non-cogen,PV,SUN
Amazon - Patterson PV,61377,CA,Electric utility non-cogen,PV,SUN
Amazon Denver DEN3,62877,CO,Commercial non-cogen,PV,SUN
Amazon Maryland DCA1,62876,MD,Commercial non-cogen,PV,SUN
American Canyon Solar,62687,CA,Electric utility non-cogen,PV,SUN
American Falls Solar,60011,ID,Electric utility non-cogen,PV,SUN
American Falls Solar II,60012,ID,Electric utility non-cogen,PV,SUN
American Legion PV 1,59516,NC,Electric utility non-cogen,PV,SUN
Amethyst Solar,58730,NC,Electric utility non-cogen,PV,SUN
Amphitheater High School Solar,60684,AZ,Electric utility non-cogen,PV,SUN
Amsterdam North,61904,NY,Electric utility non-cogen,PV,SUN
Amsterdam South,61905,NY,Electric utility non-cogen,PV,SUN
Anaheim Solar Energy Plant,59416,CA,Electric utility,PV,SUN
Anderson Farm LLC,59115,NC,Electric utility non-cogen,PV,SUN
Andrew Solar,59497,NC,Electric utility non-cogen,PV,SUN
Andromeda Community Solar,61181,MN,Electric utility non-cogen,PV,SUN
Angel Solar,58731,NC,Electric utility non-cogen,PV,SUN
Angier Farm,58867,NC,Electric utility non-cogen,PV,SUN
Anheuser-Busch Baldwinsville,61575,NY,Electric utility non-cogen,PV,SUN
Annandale Solar,60520,MN,Electric utility non-cogen,PV,SUN
"Annapolis Solar Park, LLC",60681,MD,Electric utility non-cogen,PV,SUN
